date, pm25, pm10, o3, no2, so2, co
21-08-21,55,25,11,2, , 
22-08-21,55,21,11,2, , 
23-08-21,42,22,11,2, , 
24-08-21,45,25,8,5, , 
25-08-21,51,18,4,4,1, 
26-08-21,36,22,2,7,1, 
27-08-21,52,19,2,4, , 
28-08-21,42,14,5,3, , 
29-08-21,33,24,7,6, , 
30-08-21,50,27,6,7,1, 
31-08-21,61,29,8,7,1, 
01-09-21,62,25,5,6,1, 
02-09-21,45,20,3,4,1, 
03-09-21,39,22,4,4,1, 
04-09-21,45,23,1,2,1, 
05-09-21,53,32,10,4,1, 
06-09-21,59,29,4,11,1, 
07-09-21,58,21,9,12,1, 
08-09-21,53,29,5,7, , 
09-09-21,62,19,6,7,1, 
10-09-21,44,23,8,10, , 
11-09-21,47,22,7,8,1, 
12-09-21,46,23,7,1, , 
13-09-21,45,25,12,2, , 
14-09-21,53,23,5,4, , 
15-09-21,50,19,6,4,1, 
16-09-21,37,22,7,4, , 
17-09-21,44,31,18,6, , 
18-09-21,59,25,13,5, , 
19-09-21,52,27,9,4, , 
20-09-21,54,16,7,2,1, 
21-09-21,33,9,7,4,1, 
22-09-21,23,10,5,3, , 
23-09-21,18,12,5,4,1, 
24-09-21,30,11,6,2, , 
25-09-21,19,9,6,3, , 
26-09-21,25,18,8,6,1, 
27-09-21,35,34,7,9,1, 
28-09-21,66,50,22,13,1, 
29-09-21,98,38,14,10,2, 
30-09-21,79,28,8,4,1, 
01-04-21,79,22,7,5, , 
02-04-21,47,28,15,6,1, 
03-04-21,55,30,6,7, , 
04-04-21,59,47,6,16, , 
05-04-21,91,46,8,15,2, 
06-04-21,86,47,15,16,1, 
07-04-21,89,46,17,10,1, 
08-04-21,86,38,15,10,1, 
09-04-21,74,49,17,11,1, 
10-04-21,90,42,19,11, , 
11-04-21,85,44,14,11,1, 
12-04-21,86,34,10,6,1, 
13-04-21,70,28,8,4,1, 
14-04-21,61,35,22,5,1, 
15-04-21,74,28,10,5,1, 
16-04-21,66,27,19,6,1, 
17-04-21,64,28,15,4,1, 
18-04-21,61,25,13,4,1, 
19-04-21,47,27,24,10,1, 
20-04-21,51,30,9,10,1, 
21-04-21,58,39,17,9,1, 
22-04-21,83,42,15,7, , 
23-04-21,77,43,9,8, , 
24-04-21,75,40,13,6, , 
25-04-21,84,39,13,11, , 
26-04-21,79,32,12,11,1, 
27-04-21,66,41,15,13,1, 
28-04-21,82,30,11,9, , 
29-04-21,62,33,16,10, , 
30-04-21,67,32,11,10, , 
01-05-21,70,38,19,9, , 
02-05-21,73,35,17,15, , 
03-05-21,69,42,22,9,1, 
04-05-21,80,44,29,10,1, 
05-05-21,90,35,16,12, , 
06-05-21,69,28,15,9, , 
07-05-21,48,42,28,9,1, 
08-05-21,83,34,23,8, , 
09-05-21,71,31,13,4, , 
10-05-21,67,30,15,6, , 
11-05-21,62,26,13,4, , 
12-05-21,59,27,15,5, , 
13-05-21,61,23,8,5, , 
14-05-21,50,25,12,5, , 
15-05-21,53,21,9,4, , 
16-05-21,46,24,10,5,1, 
17-05-21,56,21,9,4, , 
18-05-21,45,27,14,6,1, 
19-05-21,54,26,10,9, , 
20-05-21,48,20,7,7, , 
21-05-21,43,23,16,5, , 
22-05-21,49,22,13,4, , 
23-05-21,44,25,13,4, , 
24-05-21,48,26,13,6, , 
25-05-21,43,25,19,7,1, 
26-05-21,56,30,17,6,1, 
27-05-21,66,23,7,6, , 
28-05-21,49,20,6,5,1, 
29-05-21,45,17,7,4,1, 
30-05-21,36,23,8,5, , 
31-05-21,47,24,12,5, , 
01-06-21,58,28,6,4,1, 
02-06-21,60,23,11,4,1, 
03-06-21,53,27,13,4,1, 
04-06-21,55,26,10,4,1, 
05-06-21,56,23,6,5,1, 
06-06-21,49,21,11,4, , 
07-06-21,45,21,14,6,2, 
08-06-21,46,16,9,5, , 
09-06-21,35,14,8,5,1, 
10-06-21,29,25,9,6,2, 
11-06-21,51,36,9,8,2, 
12-06-21,72,33,6,6,2, 
13-06-21,61,27,6,6,1, 
14-06-21,51,32,5,7, , 
15-06-21,62,26,8,5, , 
16-06-21,46,22,15,6,1, 
17-06-21,46,25,5,6,1, 
18-06-21,50,25,14,3, , 
19-06-21,50,27,13,5, , 
20-06-21,45,44,13,4,1, 
21-06-21,74,54,12,8, , 
22-06-21,94,41,13,5,1, 
23-06-21,68,25,12,3, , 
24-06-21,46,35,13,4, , 
25-06-21,67,28,6,4,1, 
26-06-21,54,19,9,1, , 
27-06-21,36,25,13,6,1, 
28-06-21,48,32,12,7,1, 
29-06-21,61,25,11,5, , 
30-06-21,49,24,9,4, , 
04-01-21,119,57,17,25,3, 
05-01-21,108,55,20,22,1, 
06-01-21,116,50,20,18,1, 
07-01-21,100,44,12,9, , 
08-01-21,87,40,18,10,1, 
09-01-21,74,49,19,15,1, 
10-01-21,89,51,17,14,1, 
11-01-21,97,56,17,18,1, 
12-01-21,96,73,24,22,2, 
13-01-21,143,85,28,35,3, 
14-01-21,168,91,29,28,3, 
15-01-21,180,81,26,20,1, 
16-01-21,167,62,23,11,2, 
17-01-21,134,53,20,12,1, 
18-01-21,101,67,24,25,1, 
19-01-21,149,79,34,26,1, 
20-01-21,169,82,27,32,1, 
21-01-21,170,93,42,36,3, 
22-01-21,187,83,26,22,1, 
